Polygon,Grid_ID
"POLYGON ((121.1590909090909 14.58181818181818, 121.1635954135954 14.58181818181818, 121.1635954135954 14.58632268632269, 121.1590909090909 14.58632268632269, 121.1590909090909 14.58181818181818))",99
"POLYGON ((121.1590909090909 14.58636363636364, 121.1635954135954 14.58636363636364, 121.1635954135954 14.59086814086814, 121.1590909090909 14.59086814086814, 121.1590909090909 14.58636363636364))",100
"POLYGON ((121.1590909090909 14.59090909090909, 121.1635954135954 14.59090909090909, 121.1635954135954 14.5954135954136, 121.1590909090909 14.5954135954136, 121.1590909090909 14.59090909090909))",101
"POLYGON ((121.1590909090909 14.59545454545455, 121.1635954135954 14.59545454545455, 121.1635954135954 14.59995904995905, 121.1590909090909 14.59995904995905, 121.1590909090909 14.59545454545455))",102
"POLYGON ((121.1590909090909 14.6, 121.1635954135954 14.6, 121.1635954135954 14.6045045045045, 121.1590909090909 14.6045045045045, 121.1590909090909 14.6))",103
"POLYGON ((121.1590909090909 14.60454545454546, 121.1635954135954 14.60454545454546, 121.1635954135954 14.60904995904996, 121.1590909090909 14.60904995904996, 121.1590909090909 14.60454545454546))",104
"POLYGON ((121.1590909090909 14.60909090909091, 121.1635954135954 14.60909090909091, 121.1635954135954 14.61359541359541, 121.1590909090909 14.61359541359541, 121.1590909090909 14.60909090909091))",105
"POLYGON ((121.1590909090909 14.61363636363636, 121.1635954135954 14.61363636363636, 121.1635954135954 14.61814086814087, 121.1590909090909 14.61814086814087, 121.1590909090909 14.61363636363636))",106
"POLYGON ((121.1590909090909 14.61818181818182, 121.1635954135954 14.61818181818182, 121.1635954135954 14.62268632268632, 121.1590909090909 14.62268632268632, 121.1590909090909 14.61818181818182))",107
"POLYGON ((121.1590909090909 14.62272727272727, 121.1635954135954 14.62272727272727, 121.1635954135954 14.62723177723178, 121.1590909090909 14.62723177723178, 121.1590909090909 14.62272727272727))",108
"POLYGON ((121.1590909090909 14.62727272727273, 121.1635954135954 14.62727272727273, 121.1635954135954 14.63177723177723, 121.1590909090909 14.63177723177723, 121.1590909090909 14.62727272727273))",109
"POLYGON ((121.1590909090909 14.63181818181818, 121.1635954135954 14.63181818181818, 121.1635954135954 14.63632268632269, 121.1590909090909 14.63632268632269, 121.1590909090909 14.63181818181818))",110
"POLYGON ((121.1590909090909 14.63636363636364, 121.1635954135954 14.63636363636364, 121.1635954135954 14.64086814086814, 121.1590909090909 14.64086814086814, 121.1590909090909 14.63636363636364))",111
"POLYGON ((121.1590909090909 14.64090909090909, 121.1635954135954 14.64090909090909, 121.1635954135954 14.6454135954136, 121.1590909090909 14.6454135954136, 121.1590909090909 14.64090909090909))",112
"POLYGON ((121.1590909090909 14.64545454545455, 121.1635954135954 14.64545454545455, 121.1635954135954 14.64995904995905, 121.1590909090909 14.64995904995905, 121.1590909090909 14.64545454545455))",113
"POLYGON ((121.1590909090909 14.65, 121.1635954135954 14.65, 121.1635954135954 14.65450450450451, 121.1590909090909 14.65450450450451, 121.1590909090909 14.65))",114
"POLYGON ((121.1590909090909 14.65454545454545, 121.1635954135954 14.65454545454545, 121.1635954135954 14.65904995904996, 121.1590909090909 14.65904995904996, 121.1590909090909 14.65454545454545))",115
"POLYGON ((121.1636363636364 14.57272727272727, 121.1681408681409 14.57272727272727, 121.1681408681409 14.57723177723178, 121.1636363636364 14.57723177723178, 121.1636363636364 14.57272727272727))",116
"POLYGON ((121.1636363636364 14.57727272727273, 121.1681408681409 14.57727272727273, 121.1681408681409 14.58177723177723, 121.1636363636364 14.58177723177723, 121.1636363636364 14.57727272727273))",117
"POLYGON ((121.1636363636364 14.58181818181818, 121.1681408681409 14.58181818181818, 121.1681408681409 14.58632268632269, 121.1636363636364 14.58632268632269, 121.1636363636364 14.58181818181818))",118
"POLYGON ((121.1636363636364 14.58636363636364, 121.1681408681409 14.58636363636364, 121.1681408681409 14.59086814086814, 121.1636363636364 14.59086814086814, 121.1636363636364 14.58636363636364))",119
"POLYGON ((121.1636363636364 14.59090909090909, 121.1681408681409 14.59090909090909, 121.1681408681409 14.5954135954136, 121.1636363636364 14.5954135954136, 121.1636363636364 14.59090909090909))",120
"POLYGON ((121.1636363636364 14.59545454545455, 121.1681408681409 14.59545454545455, 121.1681408681409 14.59995904995905, 121.1636363636364 14.59995904995905, 121.1636363636364 14.59545454545455))",121
"POLYGON ((121.1636363636364 14.6, 121.1681408681409 14.6, 121.1681408681409 14.6045045045045, 121.1636363636364 14.6045045045045, 121.1636363636364 14.6))",122
"POLYGON ((121.1636363636364 14.60454545454546, 121.1681408681409 14.60454545454546, 121.1681408681409 14.60904995904996, 121.1636363636364 14.60904995904996, 121.1636363636364 14.60454545454546))",123
"POLYGON ((121.1636363636364 14.60909090909091, 121.1681408681409 14.60909090909091, 121.1681408681409 14.61359541359541, 121.1636363636364 14.61359541359541, 121.1636363636364 14.60909090909091))",124
"POLYGON ((121.1636363636364 14.61363636363636, 121.1681408681409 14.61363636363636, 121.1681408681409 14.61814086814087, 121.1636363636364 14.61814086814087, 121.1636363636364 14.61363636363636))",125
"POLYGON ((121.1636363636364 14.61818181818182, 121.1681408681409 14.61818181818182, 121.1681408681409 14.62268632268632, 121.1636363636364 14.62268632268632, 121.1636363636364 14.61818181818182))",126
"POLYGON ((121.1636363636364 14.62272727272727, 121.1681408681409 14.62272727272727, 121.1681408681409 14.62723177723178, 121.1636363636364 14.62723177723178, 121.1636363636364 14.62272727272727))",127
