index,geometry,road_distance
138,POINT (121.2650078082908 14.64026927948009),
139,POINT (121.2650078082908 14.6511163711549),
140,POINT (121.2650078082908 14.6619634628297),
141,POINT (121.2650078082908 14.67281055450451),
142,POINT (121.2650078082908 14.68365764617931),
143,POINT (121.2650078082908 14.69450473785412),
144,POINT (121.2650078082908 14.70535182952892),
145,POINT (121.2650078082908 14.71619892120373),
146,POINT (121.2650078082908 14.72704601287853),
147,POINT (121.2650078082908 14.73789310455334),
148,POINT (121.2754845454776 14.60772800445568),
149,POINT (121.2754845454776 14.61857509613048),0.01877328866901337
150,POINT (121.2754845454776 14.62942218780529),
151,POINT (121.2754845454776 14.64026927948009),
152,POINT (121.2754845454776 14.6511163711549),
153,POINT (121.2754845454776 14.6619634628297),0.06818947989492272
154,POINT (121.2754845454776 14.67281055450451),
155,POINT (121.2754845454776 14.68365764617931),
156,POINT (121.2754845454776 14.69450473785412),
157,POINT (121.2754845454776 14.70535182952892),
158,POINT (121.2754845454776 14.71619892120373),
159,POINT (121.2754845454776 14.72704601287853),
160,POINT (121.2754845454776 14.73789310455334),
161,POINT (121.2859612826644 14.61857509613048),0.05031672814985338
162,POINT (121.2859612826644 14.62942218780529),
163,POINT (121.2859612826644 14.64026927948009),
164,POINT (121.2859612826644 14.6511163711549),
165,POINT (121.2859612826644 14.6619634628297),
166,POINT (121.2859612826644 14.67281055450451),
167,POINT (121.2859612826644 14.68365764617931),
168,POINT (121.2859612826644 14.69450473785412),
169,POINT (121.2859612826644 14.70535182952892),
170,POINT (121.2859612826644 14.71619892120373),
171,POINT (121.2859612826644 14.72704601287853),
172,POINT (121.2859612826644 14.73789310455334),
173,POINT (121.2964380198513 14.61857509613048),
174,POINT (121.2964380198513 14.62942218780529),
175,POINT (121.2964380198513 14.64026927948009),
176,POINT (121.2964380198513 14.6511163711549),
177,POINT (121.2964380198513 14.6619634628297),0.03241292943940043
178,POINT (121.2964380198513 14.67281055450451),
179,POINT (121.2964380198513 14.68365764617931),
180,POINT (121.2964380198513 14.69450473785412),
181,POINT (121.2964380198513 14.70535182952892),
182,POINT (121.2964380198513 14.71619892120373),
183,POINT (121.2964380198513 14.72704601287853),
184,POINT (121.2964380198513 14.73789310455334),
185,POINT (121.3069147570381 14.62942218780529),0.01046399100106431
186,POINT (121.3069147570381 14.64026927948009),
187,POINT (121.3069147570381 14.6511163711549),
188,POINT (121.3069147570381 14.6619634628297),
189,POINT (121.3069147570381 14.67281055450451),
190,POINT (121.3069147570381 14.68365764617931),
191,POINT (121.3069147570381 14.69450473785412),0.0378267514684417
192,POINT (121.3069147570381 14.70535182952892),
193,POINT (121.3069147570381 14.71619892120373),
194,POINT (121.3069147570381 14.72704601287853),
195,POINT (121.3069147570381 14.73789310455334),
196,POINT (121.3173914942249 14.64026927948009),
197,POINT (121.3173914942249 14.6511163711549),
198,POINT (121.3173914942249 14.6619634628297),
199,POINT (121.3173914942249 14.67281055450451),
200,POINT (121.3173914942249 14.68365764617931),
201,POINT (121.3173914942249 14.69450473785412),
