index,geometry,road_distance
316,POINT (121.3727925358988 15.57211387157454),
317,POINT (121.3727925358988 15.58219815555386),
318,POINT (121.3727925358988 15.59228243953317),
319,POINT (121.3727925358988 15.60236672351249),
320,POINT (121.3727925358988 15.6124510074918),
321,POINT (121.3727925358988 15.62253529147111),
322,POINT (121.3727925358988 15.63261957545043),
323,POINT (121.3727925358988 15.64270385942974),
324,POINT (121.3727925358988 15.65278814340906),
325,POINT (121.3727925358988 15.66287242738837),
328,POINT (121.3727925358988 15.69312527932631),
329,POINT (121.3727925358988 15.70320956330563),
330,POINT (121.3727925358988 15.71329384728494),
331,POINT (121.3727925358988 15.72337813126425),
332,POINT (121.3727925358988 15.73346241524357),
335,POINT (121.3727925358988 15.76371526718151),
337,POINT (121.3727925358988 15.78388383514014),
338,POINT (121.3727925358988 15.79396811911945),
339,POINT (121.3727925358988 15.80405240309877),
342,POINT (121.3727925358988 15.83430525503671),
343,POINT (121.3829113707253 15.1082368085261),
344,POINT (121.3829113707253 15.11832109250541),
345,POINT (121.3829113707253 15.12840537648473),
346,POINT (121.3829113707253 15.13848966046404),
347,POINT (121.3829113707253 15.14857394444336),
348,POINT (121.3829113707253 15.15865822842267),
349,POINT (121.3829113707253 15.1788267963813),
350,POINT (121.3829113707253 15.18891108036061),
351,POINT (121.3829113707253 15.19899536433993),
352,POINT (121.3829113707253 15.20907964831924),
353,POINT (121.3829113707253 15.21916393229855),
354,POINT (121.3829113707253 15.22924821627787),
355,POINT (121.3829113707253 15.23933250025718),
356,POINT (121.3829113707253 15.2494167842365),
357,POINT (121.3829113707253 15.25950106821581),
358,POINT (121.3829113707253 15.26958535219512),
359,POINT (121.3829113707253 15.27966963617444),
360,POINT (121.3829113707253 15.36034390800895),
361,POINT (121.3829113707253 15.37042819198826),
362,POINT (121.3829113707253 15.38051247596758),
363,POINT (121.3829113707253 15.39059675994689),0.008560589738969816
364,POINT (121.3829113707253 15.40068104392621),
365,POINT (121.3829113707253 15.41076532790552),
366,POINT (121.3829113707253 15.42084961188483),
367,POINT (121.3829113707253 15.43093389586415),
368,POINT (121.3829113707253 15.44101817984346),
369,POINT (121.3829113707253 15.45110246382278),
370,POINT (121.3829113707253 15.46118674780209),
371,POINT (121.3829113707253 15.4712710317814),
372,POINT (121.3829113707253 15.48135531576072),
373,POINT (121.3829113707253 15.49143959974003),
374,POINT (121.3829113707253 15.50152388371935),
375,POINT (121.3829113707253 15.51160816769866),
376,POINT (121.3829113707253 15.52169245167797),
377,POINT (121.3829113707253 15.53177673565729),
378,POINT (121.3829113707253 15.5418610196366),
379,POINT (121.3829113707253 15.55194530361592),
380,POINT (121.3829113707253 15.56202958759523),
381,POINT (121.3829113707253 15.57211387157454),
382,POINT (121.3829113707253 15.58219815555386),
383,POINT (121.3829113707253 15.59228243953317),
384,POINT (121.3829113707253 15.60236672351249),
385,POINT (121.3829113707253 15.6124510074918),
386,POINT (121.3829113707253 15.62253529147111),
387,POINT (121.3829113707253 15.63261957545043),
388,POINT (121.3829113707253 15.64270385942974),
389,POINT (121.3829113707253 15.65278814340906),
392,POINT (121.3829113707253 15.683040995347),
393,POINT (121.3829113707253 15.69312527932631),
394,POINT (121.3829113707253 15.70320956330563),
395,POINT (121.3829113707253 15.71329384728494),
396,POINT (121.3829113707253 15.72337813126425),
397,POINT (121.3829113707253 15.73346241524357),
400,POINT (121.3829113707253 15.76371526718151),
402,POINT (121.3829113707253 15.78388383514014),
403,POINT (121.3829113707253 15.79396811911945),
404,POINT (121.3829113707253 15.80405240309877),
407,POINT (121.3829113707253 15.83430525503671),
409,POINT (121.3930302055517 15.11832109250541),
410,POINT (121.3930302055517 15.12840537648473),
411,POINT (121.3930302055517 15.13848966046404),
412,POINT (121.3930302055517 15.14857394444336),
413,POINT (121.3930302055517 15.15865822842267),
414,POINT (121.3930302055517 15.1788267963813),
415,POINT (121.3930302055517 15.18891108036061),
416,POINT (121.3930302055517 15.19899536433993),
417,POINT (121.3930302055517 15.20907964831924),
418,POINT (121.3930302055517 15.21916393229855),
419,POINT (121.3930302055517 15.22924821627787),
420,POINT (121.3930302055517 15.23933250025718),
421,POINT (121.3930302055517 15.2494167842365),
422,POINT (121.3930302055517 15.25950106821581),
423,POINT (121.3930302055517 15.38051247596758),0.0044235852114946714
424,POINT (121.3930302055517 15.39059675994689),0.057747703597549355
425,POINT (121.3930302055517 15.40068104392621),
426,POINT (121.3930302055517 15.41076532790552),
427,POINT (121.3930302055517 15.42084961188483),
428,POINT (121.3930302055517 15.43093389586415),
429,POINT (121.3930302055517 15.44101817984346),
430,POINT (121.3930302055517 15.45110246382278),
431,POINT (121.3930302055517 15.46118674780209),
432,POINT (121.3930302055517 15.4712710317814),
433,POINT (121.3930302055517 15.48135531576072),
434,POINT (121.3930302055517 15.49143959974003),
435,POINT (121.3930302055517 15.50152388371935),
436,POINT (121.3930302055517 15.51160816769866),
437,POINT (121.3930302055517 15.52169245167797),
438,POINT (121.3930302055517 15.53177673565729),
439,POINT (121.3930302055517 15.5418610196366),
440,POINT (121.3930302055517 15.55194530361592),
441,POINT (121.3930302055517 15.56202958759523),
442,POINT (121.3930302055517 15.57211387157454),
443,POINT (121.3930302055517 15.58219815555386),
444,POINT (121.3930302055517 15.59228243953317),
445,POINT (121.3930302055517 15.60236672351249),
446,POINT (121.3930302055517 15.6124510074918),
447,POINT (121.3930302055517 15.62253529147111),
448,POINT (121.3930302055517 15.63261957545043),
449,POINT (121.3930302055517 15.64270385942974),
452,POINT (121.3930302055517 15.67295671136768),
453,POINT (121.3930302055517 15.683040995347),
454,POINT (121.3930302055517 15.69312527932631),
455,POINT (121.3930302055517 15.70320956330563),
456,POINT (121.3930302055517 15.71329384728494),
457,POINT (121.3930302055517 15.72337813126425),
458,POINT (121.3930302055517 15.73346241524357),
459,POINT (121.3930302055517 15.74354669922288),
461,POINT (121.3930302055517 15.76371526718151),
464,POINT (121.3930302055517 15.79396811911945),
465,POINT (121.3930302055517 15.80405240309877),
471,POINT (121.4031490403781 15.18891108036061),
472,POINT (121.4031490403781 15.20907964831924),
473,POINT (121.4031490403781 15.21916393229855),
474,POINT (121.4031490403781 15.22924821627787),
475,POINT (121.4031490403781 15.23933250025718),
476,POINT (121.4031490403781 15.39059675994689),
477,POINT (121.4031490403781 15.40068104392621),
478,POINT (121.4031490403781 15.41076532790552),
479,POINT (121.4031490403781 15.42084961188483),
480,POINT (121.4031490403781 15.43093389586415),
481,POINT (121.4031490403781 15.44101817984346),
482,POINT (121.4031490403781 15.45110246382278),
483,POINT (121.4031490403781 15.46118674780209),
484,POINT (121.4031490403781 15.4712710317814),
485,POINT (121.4031490403781 15.48135531576072),
486,POINT (121.4031490403781 15.49143959974003),
487,POINT (121.4031490403781 15.50152388371935),
488,POINT (121.4031490403781 15.51160816769866),
489,POINT (121.4031490403781 15.52169245167797),
490,POINT (121.4031490403781 15.53177673565729),
491,POINT (121.4031490403781 15.5418610196366),
492,POINT (121.4031490403781 15.55194530361592),
